ID;exp_condition;MergeSELECT;age;CL;Sum_Orie_Dia_Post;Sum_Orie_Dia_Prä;Sum_Orie_IE_Post;Sum_Orie_IE_Prä;DiffGlob2task;AverageLokal;IE_FragSent_post;DIA_FragSent_post;IE_FragSent_pre;DIA_FragSent_pre;feedback_item_01;erf_lehre;fachsemester;feedback_item_00;feedback_item_02;feedback_item_03;feedback_item_04;feedback_item_05;gender;hochschulsemester;praktikum;studiengang;submission_erklaerung_pre;submission_erklaerung_post;submission_diagnostik_pre;submission_diagnostik_post;user;vorw_forschung;wiss_schreiben;CL_234;AverageGlobal;CL_234_1
lMRLQb;1;1;20; ;2;1,5;,5;,5;,5;,281318681318681;,0769230769230769;,4;,0769230769230769;,571428571428571; ;2;2; ; ; ; ; ;0;2;0;Staatsexamen;5/13/2015;5/13/2015;5/20/2015;5/20/2015;lMRLQb;1;0; ;1,125;2,56034482758621
xNDmQu;1;1;20; ;3,5;2,5;2;1;1;,304212454212454;,102564102564103;,5;,114285714285714;,5; ;0;4; ; ; ; ; ;1;4;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;xNDmQu;1;0; ;2,25;2,56034482758621
ZfwqZz;2;1;23; ;2;2;1;1;0;,197727272727273;,3;,0909090909090909;,3;,1; ;0;8; ; ; ; ; ;1;10;1;Staatsexamen;5/17/2015;5/17/2015;6/1/2015;6/1/2015;ZfwqZz;2;0; ;1,5;2,56034482758621
nwnidL;1;1;25; ;3;3;2;2;0;,162698412698413;,142857142857143;,111111111111111;,285714285714286;,111111111111111; ;3;9; ; ; ; ; ;1;10;1;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;nwnidL;1;0; ;2,5;2,56034482758621
PiVOfb;2;1;19;1;2;2;,5;,5;0;,162337662337662;,181818181818182;,142857142857143;,181818181818182;,142857142857143;0;1;1;0;2;2;0;Das Feedback ist meiner Meinung nach nicht ausreichend, um eine Erklärung zu verbessern, da nicht auf Satzlänge, Wortwiderholungen eingegangen wird, sonder nur Verbindungen berücksichtigt werden.;1;2;0;Staatsexamen;5/15/2015;5/15/2015;5/25/2015;5/25/2015;PiVOfb;1;0;1;1,25;1
GpvAij;0;1;19;1,5;1,5;1,5;,5;,5;0;,188636363636364;,2;,0909090909090909;,363636363636364;,1;0;0;2;0;3;3;2;Da nur ein Satz im Feedback stand, wusste ich nicht ob das ein gutes oder schlechtes Zeichen ist. Mit der angegebenen Anzahl der Konzepte wusste ich nicht, ob sie genügen oder ob ich noch welche hinzufügen muss.;0;2;0;Staatsexamen;5/17/2015;5/17/2015;5/20/2015;5/20/2015;GpvAij;1;0;2;1;2
aZpWpF;0;1;19;,75;1,5;2,5;2;1,5;-1;,353846153846154;,333333333333333;,2;,615384615384615;,266666666666667;0;0;2;0;2;1;3; ;1;2;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;aZpWpF;1;1;1,5;1,875;1,5
pMLkII;0;1;20;1,25;1,5;1,5;1,5;1,5;0;,233333333333333;,3;,166666666666667;,3;,166666666666667;0;1;2;0;2;3;3; ;1;2;0;Staatsexamen;5/15/2015;5/18/2015;6/1/2015;6/1/2015;pMLkII;1;0;2;1,5;2
qKWzfn;2;1;20;,75;2;2;2,5;1,5;0;,273972518709361;,266666666666667;,157894736842105;,363636363636364;,307692307692308;0;1;2;0;1;2;1;Es dauert einige Zeit bis man die Grafik entsprechend versteht und sich um den Aussagengehalt informiert fühlt. Danach versucht man die genannten Kohärenzbrüchen zu vermeiden und überarbeitet seinen Text. Je doch ist nicht immer ganz klar, warum nicht auch mehrere nicht direkt zusammenhängenden Bereichen zwingend miteinander verbunden werden müssen.;1;2;0;Staatsexamen;5/14/2015;5/14/2015;5/26/2015;5/26/2015;qKWzfn;0;0;1;2;1
uMPOOJ;0;1;38;,5;2,5;2,5;2;2;0;,283653846153846;,125;,384615384615385;,125;,5;0;2;2;0;0;2;0;"Leider ist in dieser Maßnahme für jene, die 24 Konzepte und keine Kohärenzbrüche hatten und daher keine Veränderungen durchführen mussten keine wirklich hilfreiches Feadback wie ""Gratulation, Dein Text war gleich super, lass ihn, wie er ist!"" oder dergleichen vorhanden. Das würde ein Verfalschbessern bei ""Ungläubigen"" verhindern.";1;23;0;Staatsexamen;5/13/2015;5/13/2015;5/22/2015;5/22/2015;uMPOOJ;2;0;,5;2,25;,5
WADHLO;0;1;21;1;2;2;2;2;0;,293831168831169;,357142857142857;,272727272727273;,272727272727273;,272727272727273;0;1;2;0;1;3;3;Das Feedback war zu simpel beschrieben. Ein Beispiel wäre schön gewesen.;1;2;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;WADHLO;1;1;1,75;2;1,75
njGlvw;0;1;21;,5;1;1;1,5;1,5;0;,195454545454545;,2;,181818181818182;,2;,2;1;1;3;0;0;1;1; ;1;3;0;Staatsexamen;5/17/2015;5/17/2015;6/1/2015;6/1/2015;njGlvw;0;0;,5;1,25;,5
FlcomK;0;1;21;0;1,5;1,5;,5;,5;0;,235431235431235;,0769230769230769;,333333333333333;,0769230769230769;,454545454545455;0;2;4;0;0;0;2;"Mein Feedback lautete lediglich: ""Sie haben über 25 Konzepte geschrieben und einen kohärenten Text verfasst"". Die ""Überarbeitung"" viel mir dementsprechend leicht.";0;4;0;Staatsexamen;5/17/2015;5/17/2015;5/30/2015;5/30/2015;FlcomK;2;0;,5;1;,5
mdgbTa;0;1;24;1;2,5;2,5;1;1;0;,214285714285714;,142857142857143;,285714285714286;,142857142857143;,285714285714286;0;2;4;0;2;2;0;"Mir war nicht klar ob eine Verbesserung des Textes nötig ist, wenn als Feedback ""Sie haben einen kohärenten Text geschrieben"" angegeben wurde.";1;8;0;Staatsexamen;5/14/2015;5/14/2015;5/25/2015;5/25/2015;mdgbTa;1;0;1;1,75;1
PMliNZ;2;1;19;,75;2;2;1;,5;0;,249175824175824;,2;,0714285714285714;,571428571428571;,153846153846154;0;0;4;0;1;2;2;Das Feedback ist relativ leicht zu verstehen, da es graphisch dargestellt wurde.;1;4;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;PMliNZ;0;1;1,25;1,375;1,25
TvdZZK;0;1;20;1;2,5;2,5;1,5;1,5;0;,141016139657444;,173913043478261;,0909090909090909;,208333333333333;,0909090909090909;0;3;4;0;2;2;2; ;1;4;0;Staatsexamen;5/18/2015;5/18/2015;5/27/2015;5/27/2015;TvdZZK;1;1;1,5;2;1,5
UkkkfV;2;1;20;,5;1,5;1,5;2;2;0;,146184371184371;,1;,142857142857143;,111111111111111;,230769230769231;0;0;4;0;1;1;1; ;1;4;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;UkkkfV;1;1;,75;1,75;,75
bTvdYw;2;1;25;,25;1,5;1,5;1;1;0;,107295482295482;,142857142857143;,0769230769230769;,0555555555555556;,153846153846154;0;1;5;0;1;0;1;Eine Verbesserung des Feedbacks wäre möglich, wenn man mehrfach Feedback einholen könnte, um die Änderungen am Text zu überprüfen. So wäre es einfacher, die Sinnhaftigkeit der Verbesserung zu überprüfen.;0;8;0;Staatsexamen;5/14/2015;5/14/2015;6/1/2015;6/1/2015;bTvdYw;1;0;,5;1,25;,5
OYAqEc;0;1;25;1,5;2,5;2,5;1;1;0;,123917748917749;,0833333333333333;,0714285714285714;,0909090909090909;,25;0;2;5;0;3;3;2;Das Feedback beschränkte sich darauf mir mitzuteilen ich hätte einen kohärenten Text mit 32 Konzepten geschrieben. Mir war nicht klar, inwiefern eine Überarbeitung stattfinden sollte. Koheränzbrüche galt es wohl keine zu korrigiern, aber waren 32 Konzepte genug? Zu wenig oder zu viel? Wahrscheinlich zu aufwendig für eine automatische Prüfung ist die entscheidenste Frage: Habe ich die Aufgabenstellung richtig bearbeitet? oder an der Frage vorbei argumentiert?;0;10;0;Staatsexamen;5/17/2015;5/17/2015;5/31/2015;5/31/2015;OYAqEc;1;0;2;1,75;2
ReAhtp;2;1;24;1;2;2;2;2;0;,303977272727273;,0625;,545454545454545;,0625;,545454545454545;0;0;6;0;2;2;2; ;0;8;1;Staatsexamen;5/18/2015;5/18/2015;5/29/2015;5/29/2015;ReAhtp;2;1;1,5;2;1,5
fWEjft;0;1;32;1,25;,5;,5;1,5;1,5;0;,154411764705882;,0588235294117647;,25;,0588235294117647;,25;1;1;7;0;1;3;1;"Ich kann mit der Meldung ""Sie haben 20 Konzepte geschrieben"" nichts anfangen. Habe ich nicht nur ein Konzept geschrieben?";0;21;0;Staatsexamen;5/18/2015;5/18/2015;5/29/2015;5/29/2015;fWEjft;0;0;1,25;1;1,25
rACYgX;0;1;26;,75;1,5;1,5;2,5;2,5;0;,227678571428571;,1875;,25;,1875;,285714285714286;0;0;7;0;1;2;2; ;1;8;1;Staatsexamen;5/16/2015;5/16/2015;5/25/2015;5/25/2015;rACYgX;1;0;1,25;2;1,25
PSncfH;1;1;20;2;2,5;2,5;2;2;0;,269886363636364;,181818181818182;,25;,272727272727273;,375;1;0;4;1;3;3;2; ;1;-4;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;PSncfH;1;0;2,25;2,25;2,25
ZmTkPm;0;1;22;1,5;2;1,5;1,5;1,5;,5;,355555555555556;,222222222222222;,5;,2;,5;0;2;1;1;3;2;2;Es war mir nicht ganz klar wie plötzlich 27 Konzepte in meinen Text kamen. Was sind diese Konzepte? Diese Frage konnte ich mir nicht beantworten und konnte deshalb das Feedback nicht wirklich einordnen. Ich war mir nicht sicher wie viel ich noch bearbeiten sollte bzw. ob der Text so gut war nur weil er kohärent war. Sonst ist es eine super Sache! :)Schönen Tag und schönen Feiertag mit viel Sonne wünsche ich!;0;2;0;Staatsexamen;5/13/2015;5/13/2015;5/23/2015;5/23/2015;ZmTkPm;2;0;2;1,625;2
jnrcky;1;1;20;2;3;3;2;2;0;,255555555555556;,4;,111111111111111;,4;,111111111111111;1;1;1;1;3;3;3; ;1;1;0;Staatsexamen;5/18/2015;5/18/2015;5/27/2015;5/27/2015;jnrcky;2;0;2,5;2,5;2,5
AOnSWP;1;1;20;1;1,5;1,5;1,5;1,5;0;,153787878787879;,111111111111111;,1;,222222222222222;,181818181818182;1;2;2;1;1;1;1; ;0;4;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;AOnSWP;1;0;1;1,5;1
EBWHsb;2;1;24;1;3;3;2;2;0;,108699633699634;,0666666666666667;,153846153846154;,0714285714285714;,142857142857143;0;2;2;1;1;2;1; ;0;2;0;Staatsexamen;5/12/2015;5/12/2015;5/19/2015;5/19/2015;EBWHsb;1;0;1,25;2,5;1,25
FHGrde;2;1;20;1,5;3;3;3;2,5;0;,100694444444444;,166666666666667;,0625;,111111111111111;,0625;1;0;2;1;2;2;1; ;0;2;1;Staatsexamen;5/12/2015;5/12/2015;5/29/2015;5/29/2015;FHGrde;1;0;1,5;2,875;1,5
hpUzKN;2;1;20;1,25;2;1,5;2;2;,5;,181060606060606;,0909090909090909;,1;,2;,333333333333333;1;3;2;1;1;2;2;"identifizierung von ""ergo"" als Keyword, nicht zwingend logische Rückführbarkeit der Ergebnisse.";0;2;0;Staatsexamen;5/13/2015;5/13/2015;5/26/2015;5/26/2015;hpUzKN;2;0;1,5;1,875;1,5
NsXDKj;1;1;20;1,5;1,5;1,5;1,5;1;0;,160227272727273;,133333333333333;,0833333333333333;,0909090909090909;,333333333333333;0;1;2;1;2;3;3; ;0;2;0;Staatsexamen;5/17/2015;5/17/2015;5/19/2015;5/19/2015;NsXDKj;1;0;2,25;1,375;2,25
ckqzFj;2;1;19;,5;2,5;2;2,5;1,5;,5;,161195054945055;,142857142857143;,0769230769230769;,3;,125;0;1;2;1;1;0;1;Es ist sehr leicht, da es sofort ersichtlich ist, welche Schlüsselwörter zusammengehörig sind.Allerdings wurden meiner Meinung nach nicht alle Zusammenhänge erkannt.;1;2;0;Staatsexamen;5/17/2015;5/18/2015;5/21/2015;5/22/2015;ckqzFj;1;0;,75;2,125;,75
fFpzUM;1;1;20;1,5;,5;,5;1,5;1;0;,248809523809524;,0666666666666667;,25;,428571428571429;,25;1;0;2;1;1;3;2;Gut ist, dass es überhaupt ein Feedback gibt und man dadurch die Möglichkeit bekommt das Geschriebene erneut zu überprüfen. Jedoch ist es mir etwas schwergefallen das Feedback auch so umzusetzen bzw überhaupt zu verstehen...;1;4;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;fFpzUM;0;0;1,75;,875;1,75
hfZCVp;2;1;19;,75;1,5;1,5;,5;,5;0;,279506033182504;,235294117647059;,230769230769231;,235294117647059;,416666666666667;0;1;2;1;1;1;2; ;1;2;0;Staatsexamen;5/17/2015;5/17/2015;5/28/2015;5/28/2015;hfZCVp;2;0;1,25;1;1,25
iWUEGj;1;1;23;1,25;2;2;1;1;0;,215277777777778;,111111111111111;,25;,375;,125;0;1;2;1;2;2;3; ;1;2;0;Staatsexamen;5/14/2015;5/14/2015;5/28/2015;5/28/2015;iWUEGj;0;0;2;1,5;2
JdcWiq;1;1;21;1,75;2,5;2,5;1;1;0;,108578431372549;,117647058823529;,05;,166666666666667;,1;3;1;2;1;2;1;1;Die Brüche im Text waren gut zu erkennen und dadurch auch gut zu verbessern. Einige identifizierten Brüche fand ich beim erneuten lesen allerdings im Text gut verständlich und andere Stellen hätte ich eher nochmal anders formuliert. Auch war mir nicht klar ob die Brüche inhaltlich oder durch undeutliche Formulierung zustande kamen.;1;2;0;Staatsexamen;5/18/2015;5/18/2015;5/28/2015;5/28/2015;JdcWiq;1;0;1,25;1,75;1,25
KjpGJk;0;1;20;1,25;1,5;1,5;,5;,5;0;,1625;,125;,2;,125;,2;0;0;2;1;2;2;2; ;1;2;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;KjpGJk;0;0;1,75;1;1,75
SsYeWS;2;1;24;1,75;2;2;,5;,5;0;,2;,3;,0833333333333333;,333333333333333;,0833333333333333;0;1;2;1;3;3;3; ;1;8;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;SsYeWS;2;0;2,5;1,25;2,5
uTOzDR;2;1;21;1,75;1;1;1;1;0;,0671984265734266;,0384615384615385;,0625;,0769230769230769;,0909090909090909;0;0;2;1;3;3;0;Es ist kein persönliches Feedback, das finde ich etwas schwierig. Ich würde gerne wissen, ob das alles so stimmt wie ich es geschrieben habe.;1;2;0;Staatsexamen;5/14/2015;5/14/2015;5/27/2015;5/27/2015;uTOzDR;1;0;1,75;1;1,75
YFkxav;0;1;18;1,5;3;3;1,5;1,5;0;,25530303030303;,0833333333333333;,4;,0833333333333333;,454545454545455;1;0;2;1;2;2;1;"Nachdem ich mein Entwurf abgeschickt und auf Feedback geklickt habe, bekam ich nur einen Satz zur Verbesserung: ""Sie haben 17 Konzepte und einen kohärenten Text geschrieben.""Ich hatte somit keine Probleme mit Brüchen in meinem Text, dementsprechend war dies schonmal einfach.Ich habe mich dann allerdings gefragt wie ich mit diesem Feedback umgehen soll, da ich daraus gelesen habe, dass ich nichts mehr überarbeiten muss. Ich kann allerdings nicht sagen, ob dies nun genug Konzepte sind oder ob noch irgendetwas fehlt. Hier hätte ich mir noch ein wenig mehr Angaben gewünscht.";1;2;0;Staatsexamen;5/14/2015;5/14/2015;5/27/2015;5/27/2015;YFkxav;1;0;1,5;2,25;1,5
KoYDbG;2;1;20;1,75;2,5;2,5;,5;0;0;,359375;,4375;,285714285714286;,428571428571429;,285714285714286;0;1;3;1;3;3;2;Es hat meiner Meinung nach gut gezeigt, wie die Struktur des Textes ist. Ich hatte aber das Gefühl es werden beliebig Wörter aus meinem Text genommen und in einer Concept Map zusammen gefügt.;1;4;0;Staatsexamen;5/17/2015;5/17/2015;6/1/2015;6/1/2015;KoYDbG;2;0;2,25;1,375;2,25
zbkabD;0;1;21;1,75;1;1;,5;,5;0;,0950091575091575;,0769230769230769;,0833333333333333;,0769230769230769;,142857142857143;0;2;3;1;2;4;4; ;1;3;0;Staatsexamen;5/17/2015;5/18/2015;6/1/2015;6/1/2015;zbkabD;2;0;2,75;,75;2,75
HWnqPk;1;1;20;2;3,5;3,5;3;2;0;,141414141414141;,0909090909090909;,181818181818182;,111111111111111;,181818181818182;1;0;4;1;3;3;1;"Ich fand es schwer, aus dem Feedback Schlüsse über die Qualität meines Textes zu ziehen. Das Programm zieht zum einen nur einzelne Begriffe aus dem Text, die ich oft gar nicht in dem Kontext benutzt habe, in dem sie interpretiert wurden. Zum anderen hat es zentrale Konzepte nicht erkannt, weil ich sie anders formuliert habe als sie eingespeichert sind (z.B. habe ich ""kohärent"" anstatt ""Kohärenz"" geschrieben und es stand nicht auf der Liste).Außerdem hat mir die Liste insgesamt nicht wirklich bei der Überarbeitung geholfen. Es fiel mir ziemlich schwer mit Hilfe der Liste andere Konzepte zu finden, die ich vergessen hatte, und weil sie bei mir keine Kohärenzbrüche angezeigt hat, konnte ich an meinem bisherigen Text auch nicht viel ändern.";0;4;0;Staatsexamen;5/16/2015;5/16/2015;5/29/2015;5/29/2015;HWnqPk;1;0;2;3;2
RADmAh;1;1;20;1,75;2;1,5;2,5;2;,5;,151556776556777;,153846153846154;,142857142857143;,166666666666667;,142857142857143;1;2;4;1;3;2;3;"Schwer machte es mir, die Kohäsionsbrüche zu erkennen, da es unlar war, was mit Zeilen und Spalten gemeint war. Ansonsten fand ich diese ""Hausaufgabe"" für mich effektiv, da das Erklären, welches in der Vorlesung dargestellt wurde, in der Praxis erklärt werden musste.";0;4;0;Staatsexamen;5/14/2015;5/14/2015;5/26/2015;5/26/2015;RADmAh;1;0;2,25;2;2,25
tUvBIW;0;1;22;1;3,5;3,5;2;2;0;,13895173453997;,0769230769230769;,166666666666667;,0769230769230769;,235294117647059;1;1;4;1;1;1;1; ;0;4;0;Staatsexamen;5/14/2015;5/14/2015;5/21/2015;5/21/2015;tUvBIW;1;0;1;2,75;1
uLbZRd;0;1;21;1,75;2;2;1;1;0;,143214285714286;,142857142857143;,16;,15;,12;0;1;4;1;3;3;3; ;0;4;0;Staatsexamen;5/13/2015;5/13/2015;5/22/2015;5/22/2015;uLbZRd;1;0;2,5;1,5;2,5
UlZTBM;2;1;21;1,5;1,5;1,5;2;2;0;,255494505494505;,214285714285714;,285714285714286;,214285714285714;,307692307692308;1;0;4;1;3;1;2; ;0;4;0;Staatsexamen;5/17/2015;5/17/2015;6/1/2015;6/1/2015;UlZTBM;2;1;1,75;1,75;1,75
vTMWbS;0;1;23;1;1,5;1,5;1,5;1,5;0;,300347222222222;,125;,444444444444444;,1875;,444444444444444;1;1;4;1;1;1;3; ;0;4;0;Staatsexamen;5/19/2015;5/19/2015;6/1/2015;6/1/2015;vTMWbS;1;1;1,5;1,5;1,5
ATOPva;0;1;21;1;2;2;1,5;1,5;0;,134772090654444;,0909090909090909;,176470588235294;,0952380952380952;,176470588235294;0;0;4;1;1;2;2; ;1;4;0;Staatsexamen;5/12/2015;5/12/2015;5/19/2015;5/19/2015;ATOPva;1;1;1,5;1,75;1,5
iLIoST;1;1;20;1;2,5;2,5;1,5;1,5;0;,197002923976608;,157894736842105;,25;,157894736842105;,222222222222222;1;0;4;1;1;1;1; ;1;4;0;Staatsexamen;5/18/2015;5/18/2015;6/2/2015;6/2/2015;iLIoST;1;0;1;2;1
jAijfp;2;1;22;2,25;2;1;,5;,5;1;,295454545454545;,0909090909090909;,454545454545455;,181818181818182;,454545454545455;1;2;4;1;3;4;3;Im Feedback werden leider einfach nur Substantive herausgefiltert. Verben sind dabei doch nicht weniger wichtig?! Selbst idiomatische Ausdrücke werden infrage gestellt. Satzverbindungen, die die Software nicht kennt, werden kritisiert.;1;6;0;Staatsexamen;5/17/2015;5/17/2015;5/19/2015;5/19/2015;jAijfp;1;0;2,75;1;2,75
miDcFK;2;1;21;1;2;2;1;1;0;,157789855072464;,0833333333333333;,130434782608696;,2;,217391304347826;1;1;4;1;1;1;1;evtl. personalisierteres Feedback auf welche Punkte genau man eher eingehen sollte.;1;4;0;Staatsexamen;5/18/2015;5/18/2015;5/31/2015;5/31/2015;miDcFK;2;0;1;1,5;1
NNwqHh;0;1;22;1,75;1,5;1,5;2,5;2;0;,225;,0666666666666667;,333333333333333;,0714285714285714;,428571428571429;0;2;4;1;3;3;1; ;1;4;0;Staatsexamen;5/14/2015;5/14/2015;5/19/2015;5/19/2015;NNwqHh;1;0;2;1,875;2
oECupj;0;1;21;1,75;2,5;2,5;1;1;0;,425;,4;,5;,3;,5;0;0;4;1;3;3;1; ;1;6;0;Staatsexamen;5/18/2015;5/18/2015;6/2/2015;6/2/2015;oECupj;1;1;2;1,75;2
oxFbJx;2;1;21;1,5;4;4;1,5;1,5;0;,176709401709402;,1;,153846153846154;,222222222222222;,230769230769231;1;2;4;1;2;2;1;"Ich finde, dass das Feedback sehr abstrakt ist. Es nimmt einfach die Schlagworte aus dem Text und versucht sie zu verknüpfen. Beispielsweise stand dann auch ""Letzt"" von ""zu guter Letzt"" in dem Feedback, was inhaltlich nichts mit der Erklärung zu tun hat, lediglich einen letzten Sachverhalt mit den vorigen zu verknüpfen.";1;4;0;Staatsexamen;5/16/2015;5/16/2015;5/21/2015;5/21/2015;oxFbJx;2;1;1,5;2,75;1,5
QKwjAj;2;1;20;,75;2,5;2,5;1;1;0;,110714285714286;,1;,0666666666666667;,142857142857143;,133333333333333;0;2;4;1;1;1;1;Man sieht genau welche Themenworte nicht verknüpft sind mit dem Rest des Textes und kann somit schnell und einfach seinen Text korrigieren. Es wäre gut wenn man noch ein zweites Feedback bekäme, um zu sehen ob jetzt eine Verbindung entstanden ist oder nicht;1;4;0;Staatsexamen;5/16/2015;5/16/2015;5/20/2015;5/20/2015;QKwjAj;1;0;1;1,75;1
aCFzKC;2;1;27;1,5;1,5;1,5;2;2;0;,207251082251082;,0909090909090909;,285714285714286;,166666666666667;,285714285714286;1;3;5;1;2;2;1;"Die Software identifizierte es als Kohärenzbruch, dass ich ursprünglich geschrieben habe: ""Die Erklärung sollte so aufgebaut sein, dass sie von etwas dem Adressaten bekannten zum Unbekannten fortschreitet. Dieses Fortschreiten sollte dabei in möglichst kleinen, leicht verständlichen Schritten geschehen"" - ""Fortschreiten"" und ""Schritte"" sollen hier einen Kohärenzbruch darstellen. Ein automatisiertes Feedbacktool mag ja eine nette Idee sein, aber es behandelt einen Text doch sehr mechanisch. Mit Verlaub: Ich finde das denkfeindlich.";0;14;0;Staatsexamen;5/13/2015;5/13/2015;5/27/2015;5/27/2015;aCFzKC;2;0;1,5;1,75;1,5
CJipjN;0;1;21;1,5;2;1;1,5;1,5;1;,5875;,3;,875;,3;,875;1;1;5;1;2;2;2;Das Feedback zählt nur und verweist nicht auf konkretes. Das macht es eventuell schwerer, es ist jedoch m. M. n. auch eine Denkarbeit, die man im Studium erwarten kann.;1;6;0;Staatsexamen;5/16/2015;5/16/2015;6/1/2015;6/1/2015;CJipjN;1;0;1,75;1,5;1,75
SLpIJE;2;1;22;1,75;2;2;2;1,5;0;,222222222222222;,214285714285714;,166666666666667;,222222222222222;,285714285714286;1;1;5;1;3;2;2; ;1;4;0;Staatsexamen;5/15/2015;5/15/2015;5/31/2015;5/31/2015;SLpIJE;2;1;2;1,875;2
hAmEbF;2;1;24;1;1,5;1,5;1,5;1,5;0;,172619047619048;,222222222222222;,142857142857143;,111111111111111;,214285714285714;0;3;6;1;1;2;2; ;0;6;1;Staatsexamen;5/17/2015;5/17/2015;6/1/2015;6/1/2015;hAmEbF;2;0;1,5;1,5;1,5
klbmDY;0;1;25;3;1,5;1,5;2;,5;0;,4;,333333333333333;,333333333333333;,6;,333333333333333;3;2;6;1;4;4;4; ;0;9;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;klbmDY;1;0;3,25;1,375;3,25
AWYTIJ;0;1;22;1,25;3;3;1,5;1,5;0;,292582417582418;,142857142857143;,384615384615385;,142857142857143;,5;0;0;6;1;2;2;2; ;1;6;0;Staatsexamen;5/18/2015;5/18/2015;5/31/2015;5/31/2015;AWYTIJ;2;1;1,75;2,25;1,75
nXYuMs;2;1;23;2;2;1,5;2,5;2,5;,5;,234539969834087;,117647058823529;,333333333333333;,153846153846154;,333333333333333;1;0;6;1;3;3;3; ;1;6;1;Staatsexamen;5/18/2015;5/18/2015;5/31/2015;5/31/2015;nXYuMs;1;0;2,5;2,125;2,5
PjNTae;2;1;23;1,25;3;3;1;1;0;,116071428571429;,125;,0714285714285714;,125;,142857142857143;1;2;6;1;1;2;0;Individuelles Feedback durch die Software bei der hohen Kursteilnehmeranzahl ist echt super! Jedoch fand ich das Feedback trotzdem ein bisschen zu einseitig (nur Kohärenz des Textes) und zu knapp.;1;6;0;Staatsexamen;5/13/2015;5/13/2015;5/27/2015;5/27/2015;PjNTae;2;1;1;2;1
zJlPfZ;0;1;22;2;,5;,5;1,5;1,5;0;,201923076923077;,2;,153846153846154;,3;,153846153846154;0;2;6;1;3;4;3;Das Feedback war für mich schwer zu verstehen, weil ich nicht wusste, was wünschenswert ist und was nicht. Gerade in Bezug auf die Anzahl der genannten Konzepte viel er mit schwer, dahingehend eine Überarbeitung meines Textes zu machen, da kein Richtwert bekannt war. Sind 29 genannte Konzepte nun gut oder schlecht? Woher weiß ich, was noch fehlt? Die Angabe über die Kohärenzbrüche war deutlicher zu verstehen und daher in Ordnung.Und es wäre nett, wenn die Website eine Erklärung bereitstellen würde, wie denn dieses automatisierte Feedback funktioniert. Nur aus reinem Interesse an der Sache natürlich.Ansonsten war der Arbeitsaufwand für diese Hausaufgabe moderat.;1;6;0;Staatsexamen;5/18/2015;5/18/2015;5/29/2015;5/29/2015;zJlPfZ;2;1;2,75;1;2,75
GgDYnR;1;1;24;,75;,5;,5;2;2;0;,1875;,0625;,222222222222222;,1875;,277777777777778;0;1;7;1;1;1;1; ;0;9;0;Staatsexamen;5/14/2015;5/19/2015;6/1/2015;6/1/2015;GgDYnR;1;0;1;1,25;1
